license_number,clean_business_name,original_business_name_field,clean_address,city,state,zip_code,existing_phone,existing_email,website,classifications,bond_amount,expire_date,priority_score,data_quality_score,search_terms,enrichment_status,enriched_email,enriched_phone,email_confidence,phone_confidence,last_enriched,data_source,notes,raw_text
20240128773,D&A REMODELING INC,,,SAN DIEGO,CA,,(202) 401-2877,,https://www.daremodeling.net,B-2,,,55,70,D&A REMODELING INC; D&A REMODELING INC SAN DIEGO; D&A REMODELING INC SAN DIEGO CA; D&A REMODELING INC contractor; D&A REMODELING INC B-2 contractor,email_found,contact@daremodeling.net,,90,,2025-07-18T21:43:04.804Z,hunter_domain,,"20240128773 O     CP    E           D&A REMODELING INC                                         0 225 50TH ST APT 6                SAN DIEGO          CA      92102       20250715                                                     B-2,"
20240128317,NATI GARAGE DOOR INC,,1665 CHESTNUT ST,SAN FRANCISCO,CA,,(202) 401-2831,,https://www.natigaragedoor.net,,,,53,75,NATI GARAGE DOOR INC; NATI GARAGE DOOR INC SAN FRANCISCO; NATI GARAGE DOOR INC SAN FRANCISCO CA,email_found,sales@natigaragedoor.net,,90,,2025-07-18T21:43:07.814Z,hunter_domain,,"20240128317 O   CP   E   NATI GARAGE DOOR INC                           0 1665 CHESTNUT ST APT 208        SAN FRANCISCO     CA   94123   20250707 NATALIA MARCUS               D28   D28,"
20240129201,DUBI GREGOROVIC & SON INC,,2105 FOOTHILL BLVD,LA VERNE,CA,,(202) 401-2920,,https://www.dubigregorovicson.biz,B116,,,53,85,DUBI GREGOROVIC & SON INC; DUBI GREGOROVIC & SON INC LA VERNE; DUBI GREGOROVIC & SON INC LA VERNE CA; DUBI GREGOROVIC & SON INC contractor; DUBI GREGOROVIC & SON INC B116 contractor,email_found,contact@dubigregorovicson.biz,,90,,2025-07-18T21:43:10.821Z,hunter_domain,,"20240129201 O   CP   W   DUBI GREGOROVIC & SON INC                      0 2105 FOOTHILL BLVD SUITE B116   LA VERNE          CA   91750   20250707                                    A,"
20240123795,A&E PHOENIX CONSTRUCTION LLC,,375 VISTA ROMA WAY,SAN JOSE,CA,,(202) 401-2379,,https://www.aephoenixconstructio.com,C10,,,53,85,A&E PHOENIX CONSTRUCTION LLC; A&E PHOENIX CONSTRUCTION LLC SAN JOSE; A&E PHOENIX CONSTRUCTION LLC SAN JOSE CA; A&E PHOENIX CONSTRUCTION LLC contractor; A&E PHOENIX CONSTRUCTION LLC C10 contractor,email_found,sales@aephoenixconstructio.com,,90,,2025-07-18T21:43:13.827Z,hunter_domain,,"20240123795 O     LC    W           A&E PHOENIX CONSTRUCTION LLC                   0 375 VISTA ROMA WAY APT 210        SAN JOSE         CA       95136     20250708                                                    B,C10,"
20240128426,HERCA REMODELING LLC,,120 S CENTER ST,,CA,,(202) 401-2842,,https://www.hercaremodeling.com,B-2;B-2,,,53,65,HERCA REMODELING LLC; HERCA REMODELING LLC contractor; HERCA REMODELING LLC B-2 contractor,email_found,sales@hercaremodeling.com,,90,,2025-07-18T21:43:16.834Z,hunter_domain,,"20240128426   O   LC   E   HERCA REMODELING LLC                                                 0 120 S CENTER ST                  REDLANDS             CA   92373   20250708 JOAQUIN CADAVID                    B-2   B-2,"
20240123398,ALEXANDER'S CONSTRUCTION,,100 MAPLE ST,HOLLISTER,CA,,(202) 401-2339,,https://www.alexanders.biz,B-2;B-2,,,53,85,ALEXANDER'S CONSTRUCTION; ALEXANDER'S CONSTRUCTION HOLLISTER; ALEXANDER'S CONSTRUCTION HOLLISTER CA; ALEXANDER'S CONSTRUCTION contractor; ALEXANDER'S CONSTRUCTION B-2 contractor,email_found,contact@alexanders.biz,,80,,2025-07-18T21:43:19.340Z,hunter_company,,"20240123398 O   CP   E   ALEXANDER'S CONSTRUCTION                           0 100 MAPLE ST 2761                   HOLLISTER        CA   95023   20250709 DAVID ALEXANDER HERNANDEZ         B-2   B-2,"
20240129415,LEMNI DESIGN LLC,,325 SHARAN PARK DR ST,MENLO PARK,CA,,(202) 401-2941,,https://www.lemnidesign.com,B3,,,53,85,LEMNI DESIGN LLC; LEMNI DESIGN LLC MENLO PARK; LEMNI DESIGN LLC MENLO PARK CA; LEMNI DESIGN LLC contractor; LEMNI DESIGN LLC B3 contractor,email_found,sales@lemnidesign.com,,90,,2025-07-18T21:43:22.351Z,hunter_domain,,"20240129415   O   LC   W   LEMNI DESIGN LLC                                                        0 325 SHARAN PARK DR STE B3           MENLO PARK         CA   94025   20250709                                        B,"
20240129439,HAPPINESS CONSTRUCTION,,10405 WHITE BIRCH DR,,CA,,(202) 401-2943,,https://www.happiness.biz,B-2,,,53,65,HAPPINESS CONSTRUCTION; HAPPINESS CONSTRUCTION contractor; HAPPINESS CONSTRUCTION B-2 contractor,email_found,contact@happiness.biz,,80,,2025-07-18T21:43:24.859Z,hunter_company,,"20240129439   O   CP   W   HAPPINESS CONSTRUCTION                                                  0 10405 WHITE BIRCH DRIVE             SAN DIEGO          CA   92131   20250709                                        B-2,"
20240120433,HIGHLEVEL BUILDERS LLC,,1900 CAMDEN AVE,SAN JOSE,CA,,(202) 401-2043,,https://www.highlevelbuilders.net,,,,53,75,HIGHLEVEL BUILDERS LLC; HIGHLEVEL BUILDERS LLC SAN JOSE; HIGHLEVEL BUILDERS LLC SAN JOSE CA,email_found,office@highlevelbuilders.net,,90,,2025-07-18T21:43:27.867Z,hunter_domain,,"20240120433 O     LC    E           HIGHLEVEL BUILDERS LLC                                       0 1900 CAMDEN AVE #101                SAN JOSE           CA           95124        20250710 ALONZO ESPINOZA                  B                B,"
20240128500,WALLY REMODELING INC,,20250710 WALMAR MACNELY CAST,,CA,,(202) 401-2850,,https://www.wallyremodeling.net,B-2;B-2,,,53,65,WALLY REMODELING INC; WALLY REMODELING INC contractor; WALLY REMODELING INC B-2 contractor,email_found,sales@wallyremodeling.net,,90,,2025-07-18T21:43:30.871Z,hunter_domain,,"20240128500   O   CP   E   WALLY REMODELING INC                                    0 2367 246TH STREET                                  LOMITA           CA   90717   20250710 WALMAR MACNELY CASTILLO ALFARO   B-2   B-2,"
20240128856,PRO DRY WATER RESTORATION INC,,2051 LANGLEY ST OXNARD,,CA,,(202) 401-2885,,https://www.prodrywaterrestorati.biz,B-2;B-2,,,53,65,PRO DRY WATER RESTORATION INC; PRO DRY WATER RESTORATION INC contractor; PRO DRY WATER RESTORATION INC B-2 contractor,email_found,info@prodrywaterrestorati.biz,,90,,2025-07-18T21:43:35.879Z,hunter_domain,,"20240128856   O   CP   E   PRO DRY WATER RESTORATION INC                           0 2051 LANGLEY ST                                    OXNARD           CA   93033   20250710 JESSIE NEVAREZ                   B-2   B-2,"
20240128862,ON SITE PROPERTY MAINTENANCE AND REMODELING INC,,15701 TUSTIN VILLAGE WAY,TUSTIN,CA,,(202) 401-2886,,https://www.onsitepropertymainte.com,B-2;B-2,,,53,85,ON SITE PROPERTY MAINTENANCE AND REMODELING INC; ON SITE PROPERTY MAINTENANCE AND REMODELING INC TUSTIN; ON SITE PROPERTY MAINTENANCE AND REMODELING INC TUSTIN CA; ON SITE PROPERTY MAINTENANCE AND REMODELING INC contractor; ON SITE PROPERTY MAINTENANCE AND REMODELING INC B-2 contractor,email_found,contact@onsitepropertymainte.com,,90,,2025-07-18T21:43:38.885Z,hunter_domain,,"20240128862   O   CP   E   ON SITE PROPERTY MAINTENANCE AND REMODELING INC         0 15701 TUSTIN VILLAGE WAY #I7                       TUSTIN           CA   92780   20250710 ROBERT GARNETT SANDERS,II        B-2   B-2,"
20240129434,OCD PLAN & BUILD INC,,1201 PINE ST,OAKLAND,CA,,(202) 401-2943,,https://www.ocdplanbuild.net,,,,53,75,OCD PLAN & BUILD INC; OCD PLAN & BUILD INC OAKLAND; OCD PLAN & BUILD INC OAKLAND CA,email_found,info@ocdplanbuild.net,,90,,2025-07-18T21:43:41.892Z,hunter_domain,,"20240129434   O   CP   W   OCD PLAN & BUILD INC                                    0 1201 PINE STREET UNIT 146                          OAKLAND          CA   94607   20250710                                        B,"
20240128724,MODERN TOUCH CONTRACTOR LLC,,3121 PLEITNER AVE,OAKLAND,CA,,(202) 401-2872,,https://www.moderntouchcontracto.com,,,,53,75,MODERN TOUCH CONTRACTOR LLC; MODERN TOUCH CONTRACTOR LLC OAKLAND; MODERN TOUCH CONTRACTOR LLC OAKLAND CA,email_found,admin@moderntouchcontracto.com,,90,,2025-07-18T21:43:44.899Z,hunter_domain,,"20240128724 O     LC    E           MODERN TOUCH CONTRACTOR LLC                        0 3121 PLEITNER AVE APT #5           OAKLAND          CA            94602     20250711 FIDELIO MARTINEZ GUZMAN            B                B,"
