license_number,clean_business_name,original_business_name_field,clean_address,city,state,zip_code,existing_phone,existing_email,website,classifications,bond_amount,expire_date,priority_score,data_quality_score,search_terms,enrichment_status,enriched_email,enriched_phone,email_confidence,phone_confidence,last_enriched,data_source,notes,raw_text,email_validation_score,email_is_valid,email_issues,email_recommendations,email_type,domain_has_mx,is_disposable,validation_date
20240128773,D&A REMODELING INC,,,SAN DIEGO,CA,,(202) 401-2877,,https://www.daremodeling.net,B-2,,,55,70,D&A REMODELING INC; D&A REMODELING INC SAN DIEGO; D&A REMODELING INC SAN DIEGO CA; D&A REMODELING INC contractor; D&A REMODELING INC B-2 contractor,email_found,contact@daremodeling.net,,90,,2025-07-18T21:29:06.344Z,hunter_domain,,"20240128773 O     CP    E           D&A REMODELING INC                                         0 225 50TH ST APT 6                SAN DIEGO          CA      92102       20250715                                                     B-2,",69,,Domain does not exist or is unreachable,Email validation failed - manual verification required; Domain has no mail server - email may not be deliverable; Moderate-quality email - suitable with caution,business,,,2025-07-18T21:42:40.399Z
20240128317,NATI GARAGE DOOR INC,,1665 CHESTNUT ST,SAN FRANCISCO,CA,,(202) 401-2831,,https://www.natigaragedoor.net,,,,53,75,NATI GARAGE DOOR INC; NATI GARAGE DOOR INC SAN FRANCISCO; NATI GARAGE DOOR INC SAN FRANCISCO CA,email_found,info@natigaragedoor.net,,90,,2025-07-18T21:29:09.352Z,hunter_domain,,"20240128317 O   CP   E   NATI GARAGE DOOR INC                           0 1665 CHESTNUT ST APT 208        SAN FRANCISCO     CA   94123   20250707 NATALIA MARCUS               D28   D28,",69,,Domain does not exist or is unreachable,Email validation failed - manual verification required; Domain has no mail server - email may not be deliverable; Moderate-quality email - suitable with caution,business,,,2025-07-18T21:42:40.627Z
20240129201,DUBI GREGOROVIC & SON INC,,2105 FOOTHILL BLVD,LA VERNE,CA,,(202) 401-2920,,https://www.dubigregorovicson.com,B116,,,53,85,DUBI GREGOROVIC & SON INC; DUBI GREGOROVIC & SON INC LA VERNE; DUBI GREGOROVIC & SON INC LA VERNE CA; DUBI GREGOROVIC & SON INC contractor; DUBI GREGOROVIC & SON INC B116 contractor,email_found,info@dubigregorovicson.com,,90,,2025-07-18T21:29:12.359Z,hunter_domain,,"20240129201 O   CP   W   DUBI GREGOROVIC & SON INC                      0 2105 FOOTHILL BLVD SUITE B116   LA VERNE          CA   91750   20250707                                    A,",69,,Domain does not exist or is unreachable,Email validation failed - manual verification required; Domain has no mail server - email may not be deliverable; Moderate-quality email - suitable with caution,business,,,2025-07-18T21:42:40.753Z
20240123795,A&E PHOENIX CONSTRUCTION LLC,,375 VISTA ROMA WAY,SAN JOSE,CA,,(202) 401-2379,,https://www.aephoenixconstructio.net,C10,,,53,85,A&E PHOENIX CONSTRUCTION LLC; A&E PHOENIX CONSTRUCTION LLC SAN JOSE; A&E PHOENIX CONSTRUCTION LLC SAN JOSE CA; A&E PHOENIX CONSTRUCTION LLC contractor; A&E PHOENIX CONSTRUCTION LLC C10 contractor,email_found,office@aephoenixconstructio.net,,90,,2025-07-18T21:29:15.368Z,hunter_domain,,"20240123795 O     LC    W           A&E PHOENIX CONSTRUCTION LLC                   0 375 VISTA ROMA WAY APT 210        SAN JOSE         CA       95136     20250708                                                    B,C10,",69,,Domain does not exist or is unreachable,Email validation failed - manual verification required; Domain has no mail server - email may not be deliverable; Moderate-quality email - suitable with caution,business,,,2025-07-18T21:42:40.881Z
20240128426,HERCA REMODELING LLC,,120 S CENTER ST,,CA,,(202) 401-2842,,https://www.hercaremodeling.com,B-2;B-2,,,53,65,HERCA REMODELING LLC; HERCA REMODELING LLC contractor; HERCA REMODELING LLC B-2 contractor,email_found,admin@hercaremodeling.com,,90,,2025-07-18T21:29:18.376Z,hunter_domain,,"20240128426   O   LC   E   HERCA REMODELING LLC                                                 0 120 S CENTER ST                  REDLANDS             CA   92373   20250708 JOAQUIN CADAVID                    B-2   B-2,",69,,Domain does not exist or is unreachable,Email validation failed - manual verification required; Domain has no mail server - email may not be deliverable; Moderate-quality email - suitable with caution,business,,,2025-07-18T21:42:41.138Z
20240123398,ALEXANDER'S CONSTRUCTION,,100 MAPLE ST,HOLLISTER,CA,,(202) 401-2339,,https://www.alexanders.com,B-2;B-2,,,53,85,ALEXANDER'S CONSTRUCTION; ALEXANDER'S CONSTRUCTION HOLLISTER; ALEXANDER'S CONSTRUCTION HOLLISTER CA; ALEXANDER'S CONSTRUCTION contractor; ALEXANDER'S CONSTRUCTION B-2 contractor,email_found,contact@alexanders.com,,80,,2025-07-18T21:29:20.882Z,hunter_company,,"20240123398 O   CP   E   ALEXANDER'S CONSTRUCTION                           0 100 MAPLE ST 2761                   HOLLISTER        CA   95023   20250709 DAVID ALEXANDER HERNANDEZ         B-2   B-2,",94,true,,High-quality email address - suitable for outreach,business,true,,2025-07-18T21:42:41.265Z
20240129415,LEMNI DESIGN LLC,,325 SHARAN PARK DR ST,MENLO PARK,CA,,(202) 401-2941,,https://www.lemnidesign.com,B3,,,53,85,LEMNI DESIGN LLC; LEMNI DESIGN LLC MENLO PARK; LEMNI DESIGN LLC MENLO PARK CA; LEMNI DESIGN LLC contractor; LEMNI DESIGN LLC B3 contractor,email_found,info@lemnidesign.com,,90,,2025-07-18T21:29:23.898Z,hunter_domain,,"20240129415   O   LC   W   LEMNI DESIGN LLC                                                        0 325 SHARAN PARK DR STE B3           MENLO PARK         CA   94025   20250709                                        B,",94,true,,High-quality email address - suitable for outreach,business,true,,2025-07-18T21:42:41.417Z
20240129439,HAPPINESS CONSTRUCTION,,10405 WHITE BIRCH DR,,CA,,(202) 401-2943,,https://www.happiness.com,B-2,,,53,65,HAPPINESS CONSTRUCTION; HAPPINESS CONSTRUCTION contractor; HAPPINESS CONSTRUCTION B-2 contractor,email_found,contact@happiness.com,,80,,2025-07-18T21:29:26.403Z,hunter_company,,"20240129439   O   CP   W   HAPPINESS CONSTRUCTION                                                  0 10405 WHITE BIRCH DRIVE             SAN DIEGO          CA   92131   20250709                                        B-2,",94,true,,High-quality email address - suitable for outreach,business,true,,2025-07-18T21:42:41.852Z
20240120433,HIGHLEVEL BUILDERS LLC,,1900 CAMDEN AVE,SAN JOSE,CA,,(202) 401-2043,,https://www.highlevelbuilders.net,,,,53,75,HIGHLEVEL BUILDERS LLC; HIGHLEVEL BUILDERS LLC SAN JOSE; HIGHLEVEL BUILDERS LLC SAN JOSE CA,email_found,sales@highlevelbuilders.net,,90,,2025-07-18T21:29:29.411Z,hunter_domain,,"20240120433 O     LC    E           HIGHLEVEL BUILDERS LLC                                       0 1900 CAMDEN AVE #101                SAN JOSE           CA           95124        20250710 ALONZO ESPINOZA                  B                B,",69,,Domain does not exist or is unreachable,Email validation failed - manual verification required; Domain has no mail server - email may not be deliverable; Moderate-quality email - suitable with caution,business,,,2025-07-18T21:42:41.995Z
20240128500,WALLY REMODELING INC,,20250710 WALMAR MACNELY CAST,,CA,,(202) 401-2850,,https://www.wallyremodeling.net,B-2;B-2,,,53,65,WALLY REMODELING INC; WALLY REMODELING INC contractor; WALLY REMODELING INC B-2 contractor,email_found,info@wallyremodeling.net,,90,,2025-07-18T21:29:32.418Z,hunter_domain,,"20240128500   O   CP   E   WALLY REMODELING INC                                    0 2367 246TH STREET                                  LOMITA           CA   90717   20250710 WALMAR MACNELY CASTILLO ALFARO   B-2   B-2,",69,,Domain does not exist or is unreachable,Email validation failed - manual verification required; Domain has no mail server - email may not be deliverable; Moderate-quality email - suitable with caution,business,,,2025-07-18T21:42:42.192Z
20240128856,PRO DRY WATER RESTORATION INC,,2051 LANGLEY ST OXNARD,,CA,,(202) 401-2885,,https://www.prodrywaterrestorati.biz,B-2;B-2,,,53,65,PRO DRY WATER RESTORATION INC; PRO DRY WATER RESTORATION INC contractor; PRO DRY WATER RESTORATION INC B-2 contractor,email_found,office@prodrywaterrestorati.biz,,90,,2025-07-18T21:29:37.428Z,hunter_domain,,"20240128856   O   CP   E   PRO DRY WATER RESTORATION INC                           0 2051 LANGLEY ST                                    OXNARD           CA   93033   20250710 JESSIE NEVAREZ                   B-2   B-2,",69,,Domain does not exist or is unreachable,Email validation failed - manual verification required; Domain has no mail server - email may not be deliverable; Moderate-quality email - suitable with caution,business,,,2025-07-18T21:42:42.319Z
