license_number,business_name,status,address,city_state_zip,phone,bond_amount,classifications,expire_date,line_number,raw_text
20240113733,,,3216 COUNTRY ROAD,             BECKWOURTH      ,538225 3216,,A23;C10,,37,"20240113733 O     SO    W           CAL-SIERRA ELECTRIC                       538225 3216 COUNTRY ROAD A23             BECKWOURTH       CA       96129     20250708                                                    C10,"
20240118786,,,2541 MANCHESTER AVE, MANCHESTER AVE               SAN PABLO       ,,,,,38,"20240118786 O     CP    E           BAYWIN CONSTRUCTION & MAINTENANCE              0 2541 MANCHESTER AVE               SAN PABLO        CA       94806     20250708 XIANZHE YIN                       B                B,"
20240119972,,,,TH STREET                 RANCHO CUCAMONGA,,,,,39,"20240119972 O     SO    E           LUSYA GARBER                                   0 8556 E 9TH STREET                 RANCHO CUCAMONGA CA       91730     20250708 LUSYA GARBER                      B                B,"
20240120298,,,19771 ESTUARY LANE, ESTUARY LANE                HUNTINGTON BEACH,,,,,40,"20240120298 O     SO    E           RAGO GENERAL CONSTRUCTION                      0 19771 ESTUARY LANE                HUNTINGTON BEACH CA       92646     20250708 MICHAEL ANDREW RAGO               B                B,"
20240120843,,,,                       PETALUMA        ,,,C33,,41,"20240120843 O     LC    W           MARSH PAINTING LLC                        735918 P O BOX 378                       PETALUMA         CA       94953     20250708                                                    C33,"
20240121095,,,13397 COOLWATER STREET            VICT, COOLWATER STREET            VICTORVILLE     ,,,C10;C10,,42,"20240121095 O     CP    E           C & G ELECTRIC INC                             0 13397 COOLWATER STREET            VICTORVILLE      CA       92392     20250708 FREDDY VEGA FLORES                C10              C10,"
20240122077,,,6815 LINDSAY RD, LINDSAY RD                   BAKERSFIELD     ,,,,,43,"20240122077 O     SO    E           RAMOS MILIAN CO                                0 6815 LINDSAY RD                   BAKERSFIELD      CA       93313     20250708 NINIVE ALEINI RAMOS MILIAN        B                B,"
20240122199,,,1534 PLAZA LANE,              BURLINGAME      ,,,,,44,"20240122199 O     CP    W           O'NEIL ENGINEERING INC                         0 1534 PLAZA LANE #307              BURLINGAME       CA       94010     20250708                                                    A,B,"
20240123001,,,3078 FRANKLIN AVE,A              SAN DIEGO       ,,,,,45,"20240123001 O     CP    E           I C R CONSTRUCTION INC                         0 3078 FRANKLIN AVE #A              SAN DIEGO        CA       92113     20250708                                                    B,"
20240123237,,,920 HEMINGWAY DR, HEMINGWAY DRIVE               CORONA          ,,,,,46,"20240123237 O     CP    E           RUELAS GENERAL CONSTRUCTION                    0 920 HEMINGWAY DRIVE               CORONA           CA       92878     20250708 JESUS RUELAS                      B                B,"
20240123795,,,375 VISTA ROMA WAY,        SAN JOSE        ,,,C10,,47,"20240123795 O     LC    W           A&E PHOENIX CONSTRUCTION LLC                   0 375 VISTA ROMA WAY APT 210        SAN JOSE         CA       95136     20250708                                                    B,C10,"
20240124266,,,6628 WOODENFIELD COURT, WOODENFIELD COURT            CITRUS HEIGHTS  ,109807 6628,,,,48,"20240124266 O     CP    W           BLACK HAMMER CONSTRUCTION INC            1109807 6628 WOODENFIELD COURT            CITRUS HEIGHTS   CA       95621     20250708                                                    B,"
20240124479,,,1114 WEST AVE,              LANCASTER       ,,,C20,,49,"20240124479 O     CP    W           KINGS COMFORT & CLIMATE SOLUTIONS INC          0 1114 WEST AVENUE J15              LANCASTER        CA       93534     20250708                                                    C20,"
20240124656,,,, SOMMERSET CIR                LA PALMA        ,,,,,50,"20240124656 O     SO    E           JADEN PARK                                     0 7032 SOMMERSET CIR                LA PALMA         CA       90623     20250708 JADEN JOOYOUNG PARK               B                B,"
20240124821,,,1606 EL CAMPO DRIVE               CONCORD, EL CAMPO DRIVE               CONCORD         ,,,C20;C20,,51,"20240124821 O     LC    E           NICKELS HVAC                                   0 1606 EL CAMPO DRIVE               CONCORD          CA       94519     20250708 CORY JOHN NICKELS                 C20              C20,"
20240124968,,,253 JOHNSTONE COURT, JOHNSTONE COURT               SAN RAFAEL      ,,,,,52,"20240124968 O     CP    E           HANDS ON CONSTRUCTION INC                      0 253 JOHNSTONE COURT               SAN RAFAEL       CA       94903     20250708 MELSAR OCTAVIO DE LEON OCHOA      B                B,"
20240124985,,,1181 HENSHAW AVE, HENSHAW AVE                  CHICO           ,,,C33;C33,,53,"20240124985 O     CP    E           JS HOME PAINTING                               0 1181 HENSHAW AVE                  CHICO            CA       95973     20250708 AZUCENA PEREZ RODRIGUEZ           C33              C33,"
20240125070,,,1146 LARCH AVE, LARCH AVE                    MORAGA          ,,,C10;C10,,54,"20240125070 O     CP    E           A&M ELECTRIC                                   0 1146 LARCH AVE                    MORAGA           CA       94556     20250708 ANDREW KENNETH MURPHY             C10              C10,"
20240125163,,,3468 HARDING ST, HARDING STREET               RIVERSIDE       ,,,C17;C17,,55,"20240125163 O     CP    E           MP GLASS INC                                   0 3468 HARDING STREET               RIVERSIDE        CA       92506     20250708 ARMANDO PETER PENUNURI            C17              C17,"
20240125332,,,1837 MENDOCINO ST, MENDOCINO ST                 SEASIDE         ,,,C27;C27,,56,"20240125332 O     CP    E           HERNANDEZ LANDSCAPING & DESIGN INC             0 1837 MENDOCINO ST                 SEASIDE          CA       93955     20250708 MIGUEL SALVADOR HERNANDEZ PABLO   C27              C27,"
20240125390,,,68 EAST RINCON AVE, EAST RINCON AVENUE             CAMPBELL        ,,,C10;C10,,57,"20240125390 O     SO    E           DAL ELECTRIC                                   0 68 EAST RINCON AVENUE             CAMPBELL         CA       95008     20250708 FEREYDOON DEMEHRI                 C10              C10,"
20240125468,,,2032                      SEBAST,                      SEBASTOPOL      ,,,C36;C21,,58,"20240125468 O     CP    W           WIELDER CONSTRUCTION INC                  914639 P O BOX 2032                      SEBASTOPOL       CA       95473     20250708                                                    B,C36,C21,"
20240125568,,,834 QUINCE AVE,                 SANTA CLARA     ,,,C20;C20,,59,"20240125568 O     SO    E           KOE HEATING & AIR CONDITIONING                 0 834 QUINCE AVE 36                 SANTA CLARA      CA       95051     20250708 TIANYU ZHAO                       C20              C20,"
20240125662,,,1713 JUNCTION AVENUE ST, JUNCTION AVENUE STE A        SAN JOSE        ,,,C17,,60,"20240125662 O     LC    W           KD GLASS AND GLAZING LLC                       0 1713 JUNCTION AVENUE STE A        SAN JOSE         CA       95112     20250708                                                    C17,"
20240125727,,,20250708 ALEJANDR, LEONA                        SANTA MARIA     ,,,C-8;C-8,,61,"20240125727 O     CP    E           LEGACY CONCRETE CO                             0 1323 LEONA                        SANTA MARIA      CA       93454     20250708 ALEJANDRO PINA GONZALEZ           C-8              C-8,"
20240125750,,,20250708 ANDR, ROUND WALK CIRCLE              PETALUMA        ,,,C27;C27,,62,"20240125750 O     SO    E           CRUZ DIAZ LANDSCAPING                          0 24 ROUND WALK CIRCLE              PETALUMA         CA       94954     20250708 ANDRES LUCAS CRUZ                 C27              C27,"
20240125827,,,,                        LIVERMORE       ,,,C10,,63,"20240125827 O     CP    W           PAT MORGAN ELECTRIC INC                   711517 P O BOX 71                        LIVERMORE        CA       94551     20250708                                                    C10,"
